startDate,endDate,link,Operation,Amount
2025-07-29,2025-07-29,backups\Genesis\1fdd5a6e-e108-45f9-84eb-435b246b273d.jpg,003433472838,10
2025-07-30,2025-07-30,backups\Genesis\1fdd5a6e-e108-45f9-84eb-435b246b273d.jpg,003433472838,5
2025-07-31,2025-07-31,backups/Genesis/cc15fc84-a767-4d84-8a58-7f97e862ff15.jpg,003450425610,10
2025-08-01,2025-08-01,backups/Genesis/cc15fc84-a767-4d84-8a58-7f97e862ff15.jpg,003450425610,5
2025-08-02,2025-08-02,backups\Genesis\fb3c6695-bc3f-45a9-80b3-1b5e6e4bb2ba.jpg,003550055775,10
2025-08-04,2025-08-04,backups\Genesis\fb3c6695-bc3f-45a9-80b3-1b5e6e4bb2ba.jpg,003550055775,5
2025-08-05,2025-08-05,backups\Genesis\99caea4f-5c53-48ca-a2d6-58cfe4582123.jpg,003557346796,10
2025-08-06,2025-08-06,backups\Genesis\99caea4f-5c53-48ca-a2d6-58cfe4582123.jpg,003557346796,5
2025-08-07,2025-08-07,backups\Genesis\01bbc576-1b1d-40f7-9ca4-990dc2824db9.jpg,003613274363,10
2025-08-08,2025-08-08,backups\Genesis\01bbc576-1b1d-40f7-9ca4-990dc2824db9.jpg,003613274363,5
2025-08-11,2025-08-11,backups\Genesis\003656639714.jpg,003656639714,10
2025-08-12,2025-08-12,backups\Genesis\003656639714.jpg,003656639714,5
2025-08-13,2025-08-13,backups\Genesis\003641899502.jpg,003641899502,10
2025-08-14,2025-08-14,backups\Genesis\003641899502.jpg,003641899502,5
2025-08-15,2025-08-15,mama.jpg,000000000000,20
2025-08-16,2025-08-16,mama.jpg,000000000000,15
2025-08-18,2025-08-18,mama.jpg,000000000000,10
2025-08-19,2025-08-19,mama.jpg,000000000000,5
2025-08-20,2025-08-20,mama.jpg,000000000000,10
2025-08-21,2025-08-21,mama.jpg,000000000000,5
2025-08-22,2025-08-22,backups\Genesis\003737074635.jpg,003737074635,10
2025-08-23,2025-08-23,backups\Genesis\003737074635.jpg,003737074635,5
2025-08-25,2025-08-25,backups\Genesis\003743427374.jpg,003743427374,10
2025-08-26,2025-08-26,backups\Genesis\003743427374.jpg,003743427374,5
2025-08-27,2025-08-27,backups\Genesis\003776763527.jpg,003776763527,10
2025-08-28,2025-08-28,backups\Genesis\003776763527.jpg,003776763527,5
2025-08-29,2025-08-29,backups\Genesis\003794124586.jpg,003794124586,10
2025-08-30,2025-08-30,backups\Genesis\003794124586.jpg,003794124586,5
2025-09-01,2025-09-01,backups\Genesis\003863087104.jpg,003863087104,10
2025-09-02,2025-09-02,backups\Genesis\003863087104.jpg,003863087104,5
2025-09-03,2025-09-03,backups\Genesis\003924939743.jpg,003924939743,30
2025-09-04,2025-09-04,backups\Genesis\003924939743.jpg,003924939743,25
2025-09-05,2025-09-05,backups\Genesis\003924939743.jpg,003924939743,20
2025-09-06,2025-09-06,backups\Genesis\003924939743.jpg,003924939743,15
2025-09-08,2025-09-08,backups\Genesis\003924939743.jpg,003924939743,10
2025-09-09,2025-09-09,backups\Genesis\003924939743.jpg,003924939743,5
2025-09-10,2025-09-10,e:\Projects\Barberia\payment-chart-app\Genesis\004008221724.jpg,004008221724,10
2025-09-11,2025-09-11,e:\Projects\Barberia\payment-chart-app\Genesis\004008221724.jpg,004008221724,5
2025-09-12,2025-09-12,mama.jpg,00000000,5
2025-09-13,2025-09-13,no-laboral.jpg,00000000,0
2025-09-15,2025-09-15,no-laboral.jpg,00000000,0
2025-09-16,2025-09-16,backups\Genesis\004039608745.jpg,004039608745,10
2025-09-17,2025-09-17,backups\Genesis\004039608745.jpg,004039608745,5
2025-09-18,2025-09-18,e:\\Projects\\Barberia\\payment-chart-app\\Genesis\\004096519160.jpg,004096519160,20
2025-09-19,2025-09-19,e:\\Projects\\Barberia\\payment-chart-app\\Genesis\\004096519160.jpg,004096519160,15
2025-09-20,2025-09-20,e:\\Projects\\Barberia\\payment-chart-app\\Genesis\\004096519160.jpg,004096519160,10
2025-09-22,2025-09-22,e:\\Projects\\Barberia\\payment-chart-app\\Genesis\\004096519160.jpg,004096519160,5
2025-09-22,2025-09-22,3-11-2025.jpg-no-laboral,0000000,0
2025-09-23,2025-09-23,e:\Projects\Barberia\payment-chart-app\Genesis\004149905214.jpg,004149905214,20
2025-09-24,2025-09-24,e:\Projects\Barberia\payment-chart-app\Genesis\004149905214.jpg,004149905214,15
2025-09-25,2025-09-25,e:\Projects\Barberia\payment-chart-app\Genesis\004149905214.jpg,004149905214,10
2025-09-26,2025-09-26,e:\Projects\Barberia\payment-chart-app\Genesis\004149905214.jpg,004149905214,5
2025-09-27,2025-09-27,c,,0
